"Budaya","Taman Hiburan","Cagar Alam","Bahari","Pusat Perbelanjaan","Tempat Ibadah","rating","COUNT(tourism_ratings.rating)"
1,0,0,0,0,0,3.067466266866567,19
1,0,0,0,0,0,4.6,25
0,1,0,0,0,0,4.6,19
0,1,0,0,0,0,4.5,21
0,1,0,0,0,0,4.5,25
0,1,0,0,0,0,4.5,24
0,0,1,0,0,0,4.5,22
0,1,0,0,0,0,4.0,30
0,0,0,1,0,0,4.4,19
0,0,0,1,0,0,4.5,14
0,0,0,1,0,0,4.6,24
0,0,0,1,0,0,4.0,15
0,0,0,1,0,0,4.2,25
0,0,0,1,0,0,4.8,18
0,0,0,0,1,0,4.4,25
1,0,0,0,0,0,4.3,21
1,0,0,0,0,0,4.4,28
1,0,0,0,0,0,4.7,21
0,1,0,0,0,0,4.6,21
1,0,0,0,0,0,4.5,19
1,0,0,0,0,0,4.5,25
0,0,0,0,0,1,4.7,21
0,0,0,0,0,1,4.8,23
1,0,0,0,0,0,4.6,25
0,0,0,0,1,0,4.0,26
0,0,0,0,1,0,4.3,24
0,1,0,0,0,0,4.5,24
0,1,0,0,0,0,4.5,18
0,0,0,0,1,0,5.0,33
0,1,0,0,0,0,4.5,22
0,0,1,0,0,0,4.3,16
1,0,0,0,0,0,4.4,15
0,1,0,0,0,0,4.6,26
0,0,0,0,1,0,4.4,23
0,0,0,0,1,0,3.068417898521774,28
0,1,0,0,0,0,3.069282220225616,30
0,1,0,0,0,0,4.5,27
1,0,0,0,0,0,4.6,26
1,0,0,0,0,0,4.5,26
1,0,0,0,0,0,4.6,21
1,0,0,0,0,0,4.4,27
1,0,0,0,0,0,4.4,27
0,1,0,0,0,0,4.4,30
1,0,0,0,0,0,4.7,19
0,1,0,0,0,0,4.6,28
0,0,0,1,0,0,4.0,23
0,1,0,0,0,0,4.5,29
1,0,0,0,0,0,4.6,20
1,0,0,0,0,0,4.8,26
1,0,0,0,0,0,4.0,23
0,1,0,0,0,0,4.1,12
1,0,0,0,0,0,4.5,19
1,0,0,0,0,0,4.5,30
0,1,0,0,0,0,4.2,27
0,0,0,0,0,1,4.5,32
0,0,0,1,0,0,4.4,30
0,1,0,0,0,0,4.7,14
0,1,0,0,0,0,4.4,16
1,0,0,0,0,0,4.7,21
1,0,0,0,0,0,4.5,17
1,0,0,0,0,0,4.6,26
0,1,0,0,0,0,4.5,22
1,0,0,0,0,0,4.7,19
1,0,0,0,0,0,4.7,24
1,0,0,0,0,0,4.6,19
1,0,0,0,0,0,4.5,21
0,0,1,0,0,0,4.2,19
0,0,0,0,1,0,4.4,26
1,0,0,0,0,0,5.0,25
1,0,0,0,0,0,4.7,23
0,0,1,0,0,0,4.5,19
0,1,0,0,0,0,4.4,13
1,0,0,0,0,0,4.4,21
1,0,0,0,0,0,4.6,26
0,1,0,0,0,0,4.3,20
0,1,0,0,0,0,4.5,27
0,1,0,0,0,0,4.4,21
0,1,0,0,0,0,4.3,30
0,1,0,0,0,0,4.6,23
0,0,0,0,1,0,4.7,26
0,0,0,0,1,0,4.4,23
1,0,0,0,0,0,4.5,23
0,1,0,0,0,0,4.3,22
0,0,0,0,1,0,4.6,21
0,1,0,0,0,0,4.5,25
1,0,0,0,0,0,4.6,25
0,1,0,0,0,0,4.2,19
1,0,0,0,0,0,4.6,32
1,0,0,0,0,0,4.4,31
0,1,0,0,0,0,4.6,23
0,1,0,0,0,0,4.4,29
0,1,0,0,0,0,4.7,21
0,0,1,0,0,0,4.5,24
0,1,0,0,0,0,4.5,24
0,1,0,0,0,0,5.0,25
0,1,0,0,0,0,4.6,26
1,0,0,0,0,0,4.5,22
0,1,0,0,0,0,4.3,20
1,0,0,0,0,0,4.4,24
1,0,0,0,0,0,4.5,21
1,0,0,0,0,0,4.0,24
1,0,0,0,0,0,4.5,24
0,1,0,0,0,0,4.7,27
1,0,0,0,0,0,4.4,23
1,0,0,0,0,0,3.068982729360088,22
0,1,0,0,0,0,4.8,22
1,0,0,0,0,0,4.6,28
0,1,0,0,0,0,4.4,20
0,1,0,0,0,0,4.5,22
0,1,0,0,0,0,4.6,16
0,1,0,0,0,0,4.5,24
0,1,0,0,0,0,4.5,17
1,0,0,0,0,0,4.6,27
0,1,0,0,0,0,4.3,31
1,0,0,0,0,0,4.3,20
0,1,0,0,0,0,4.5,22
0,1,0,0,0,0,4.2,21
1,0,0,0,0,0,4.6,23
1,0,0,0,0,0,4.4,20
1,0,0,0,0,0,4.5,25
1,0,0,0,0,0,3.068297553669496,21
1,0,0,0,0,0,4.4,18
1,0,0,0,0,0,4.3,20
1,0,0,0,0,0,5.0,13
1,0,0,0,0,0,4.6,17
0,0,0,1,0,0,4.3,21
0,1,0,0,0,0,4.3,30
0,1,0,0,0,0,4.5,20
0,1,0,0,0,0,4.5,17
0,1,0,0,0,0,4.4,15
0,0,1,0,0,0,4.3,19
0,0,1,0,0,0,4.5,22
0,1,0,0,0,0,4.6,20
0,1,0,0,0,0,4.4,30
0,0,0,0,1,0,4.0,23
0,1,0,0,0,0,4.5,21
0,0,1,0,0,0,4.4,16
0,1,0,0,0,0,4.4,25
0,0,1,0,0,0,4.7,17
0,1,0,0,0,0,4.6,16
0,0,1,0,0,0,4.5,20
0,0,1,0,0,0,4.6,28
0,0,1,0,0,0,4.6,22
0,0,1,0,0,0,4.6,21
0,1,0,0,0,0,4.1,22
0,0,1,0,0,0,4.5,22
1,0,0,0,0,0,4.5,19
0,0,1,0,0,0,4.3,21
0,0,1,0,0,0,4.4,23
1,0,0,0,0,0,4.7,20
0,1,0,0,0,0,4.4,25
0,0,0,1,0,0,4.1,21
0,0,0,1,0,0,4.0,19
0,0,0,1,0,0,4.5,26
0,0,0,1,0,0,4.6,22
0,0,0,1,0,0,4.5,28
0,0,0,1,0,0,4.4,23
0,0,0,1,0,0,4.5,28
0,0,1,0,0,0,4.5,27
0,0,0,0,1,0,4.4,23
0,0,1,0,0,0,4.7,13
1,0,0,0,0,0,4.5,22
0,0,1,0,0,0,4.5,23
0,0,1,0,0,0,4.4,18
0,1,0,0,0,0,4.2,24
0,0,1,0,0,0,4.5,21
0,0,1,0,0,0,4.5,34
0,0,0,1,0,0,4.7,22
0,0,1,0,0,0,4.2,30
1,0,0,0,0,0,3.069189297124601,20
1,0,0,0,0,0,3.068996505242137,24
0,0,0,1,0,0,4.5,16
0,0,0,1,0,0,4.4,30
0,0,0,0,1,0,4.5,31
1,0,0,0,0,0,4.7,12
1,0,0,0,0,0,4.4,24
0,0,0,1,0,0,4.5,39
0,0,1,0,0,0,4.5,27
1,0,0,0,0,0,3.066886622675465,26
0,0,0,1,0,0,4.3,25
0,0,0,1,0,0,4.5,28
0,0,0,1,0,0,4.1,17
0,1,0,0,0,0,4.4,29
0,0,0,1,0,0,4.4,18
0,0,0,1,0,0,4.5,23
0,0,0,1,0,0,4.4,17
0,0,0,1,0,0,4.6,28
0,0,0,1,0,0,4.6,19
0,0,0,1,0,0,4.1,16
0,0,0,1,0,0,4.0,26
0,0,0,1,0,0,4.5,22
0,0,1,0,0,0,4.4,22
1,0,0,0,0,0,3.068610805952262,28
0,0,0,1,0,0,4.5,16
0,0,0,1,0,0,4.4,20
0,0,0,1,0,0,4.4,21
0,0,0,1,0,0,4.6,30
0,0,0,1,0,0,4.6,20
0,0,0,1,0,0,4.5,19
0,0,0,1,0,0,4.6,21
0,0,0,1,0,0,4.6,37
0,0,0,1,0,0,4.5,30
0,1,0,0,0,0,4.3,22
0,1,0,0,0,0,4.4,23
0,1,0,0,0,0,4.5,16
0,0,1,0,0,0,4.4,22
0,1,0,0,0,0,4.4,24
0,0,1,0,0,0,4.6,36
0,0,0,1,0,0,4.5,14
0,0,0,1,0,0,4.3,23
0,0,1,0,0,0,4.5,28
1,0,0,0,0,0,4.7,16
1,0,0,0,0,0,4.6,24
0,1,0,0,0,0,4.5,18
0,0,1,0,0,0,4.5,20
0,1,0,0,0,0,4.4,25
0,0,1,0,0,0,4.0,21
0,0,1,0,0,0,4.5,28
0,0,1,0,0,0,4.5,26
0,1,0,0,0,0,4.5,31
1,0,0,0,0,0,4.6,23
1,0,0,0,0,0,4.6,19
0,0,0,0,0,1,4.7,21
0,1,0,0,0,0,4.2,21
0,1,0,0,0,0,4.6,24
0,1,0,0,0,0,4.4,25
0,1,0,0,0,0,4.6,26
1,0,0,0,0,0,4.5,22
0,1,0,0,0,0,4.0,14
0,1,0,0,0,0,4.4,17
0,1,0,0,0,0,4.4,22
0,0,1,0,0,0,4.5,23
0,0,1,0,0,0,4.6,31
1,0,0,0,0,0,4.5,23
0,0,1,0,0,0,4.4,23
0,1,0,0,0,0,4.6,30
0,1,0,0,0,0,4.3,18
0,0,1,0,0,0,4.5,18
0,0,1,0,0,0,4.5,21
0,1,0,0,0,0,4.4,22
0,1,0,0,0,0,4.4,26
0,0,1,0,0,0,4.0,20
1,0,0,0,0,0,4.1,14
0,1,0,0,0,0,4.1,34
0,1,0,0,0,0,4.4,21
0,0,1,0,0,0,4.4,28
0,1,0,0,0,0,4.4,19
0,1,0,0,0,0,4.7,33
0,1,0,0,0,0,4.0,20
0,1,0,0,0,0,4.1,30
0,1,0,0,0,0,4.4,18
0,1,0,0,0,0,3.8,30
0,1,0,0,0,0,4.6,22
0,1,0,0,0,0,4.3,19
1,0,0,0,0,0,4.4,25
0,0,1,0,0,0,4.4,15
1,0,0,0,0,0,4.3,24
1,0,0,0,0,0,4.6,24
1,0,0,0,0,0,4.5,29
1,0,0,0,0,0,4.5,28
0,0,1,0,0,0,4.3,19
0,0,1,0,0,0,4.7,18
0,0,1,0,0,0,4.1,21
0,0,0,0,0,1,4.8,24
1,0,0,0,0,0,4.4,31
0,0,1,0,0,0,4.4,25
0,1,0,0,0,0,4.4,19
0,1,0,0,0,0,4.6,24
0,0,1,0,0,0,4.5,26
0,0,1,0,0,0,4.6,14
0,1,0,0,0,0,4.3,18
1,0,0,0,0,0,4.3,22
0,0,1,0,0,0,4.3,21
0,0,1,0,0,0,4.6,30
0,0,1,0,0,0,3.9,26
0,1,0,0,0,0,4.1,24
0,1,0,0,0,0,4.3,19
0,0,0,0,0,1,4.9,19
0,0,0,0,0,1,4.8,28
0,0,0,0,0,1,4.9,25
0,1,0,0,0,0,3.8,19
0,0,1,0,0,0,4.0,23
0,1,0,0,0,0,4.6,18
0,0,0,0,1,0,4.3,21
1,0,0,0,0,0,4.6,25
1,0,0,0,0,0,4.4,17
0,1,0,0,0,0,4.4,14
0,0,0,0,0,1,4.8,18
0,0,1,0,0,0,4.7,17
1,0,0,0,0,0,4.6,23
0,1,0,0,0,0,4.0,24
0,0,1,0,0,0,4.6,20
0,1,0,0,0,0,4.5,16
1,0,0,0,0,0,4.3,33
1,0,0,0,0,0,4.6,30
0,1,0,0,0,0,4.4,26
0,0,1,0,0,0,4.4,27
0,0,1,0,0,0,4.8,39
0,0,1,0,0,0,4.3,17
0,0,1,0,0,0,4.4,29
0,0,1,0,0,0,4.4,14
0,0,0,0,0,1,4.7,25
0,0,0,0,0,1,4.7,21
0,0,1,0,0,0,4.4,20
0,0,1,0,0,0,4.6,16
0,0,1,0,0,0,4.6,21
0,0,1,0,0,0,4.4,27
0,0,1,0,0,0,4.3,20
0,0,1,0,0,0,4.5,23
0,0,1,0,0,0,4.1,21
0,0,1,0,0,0,4.3,21
0,0,1,0,0,0,4.5,27
0,0,1,0,0,0,4.4,21
0,0,1,0,0,0,4.2,24
0,0,1,0,0,0,4.2,26
0,0,1,0,0,0,4.4,21
0,0,1,0,0,0,4.6,21
0,0,1,0,0,0,4.5,19
0,0,1,0,0,0,4.3,31
0,0,1,0,0,0,3.9,18
0,1,0,0,0,0,4.4,21
0,0,1,0,0,0,4.2,30
0,0,1,0,0,0,4.9,31
0,0,1,0,0,0,4.2,22
1,0,0,0,0,0,4.7,27
0,0,1,0,0,0,4.0,20
0,1,0,0,0,0,4.4,19
0,0,1,0,0,0,4.5,26
0,0,1,0,0,0,4.4,24
1,0,0,0,0,0,4.4,20
1,0,0,0,0,0,4.5,32
0,0,1,0,0,0,4.6,23
0,1,0,0,0,0,4.4,24
0,1,0,0,0,0,4.5,18
1,0,0,0,0,0,3.068231768231768,24
0,1,0,0,0,0,3.069082559648598,33
0,1,0,0,0,0,4.3,21
1,0,0,0,0,0,4.6,28
1,0,0,0,0,0,4.5,20
0,1,0,0,0,0,3.9,20
0,0,1,0,0,0,4.3,26
0,1,0,0,0,0,4.5,25
0,0,0,1,0,0,4.0,26
0,0,0,1,0,0,4.1,33
1,0,0,0,0,0,4.7,20
0,1,0,0,0,0,4.6,25
0,1,0,0,0,0,4.4,26
1,0,0,0,0,0,4.7,27
0,0,1,0,0,0,4.3,18
0,0,0,1,0,0,4.0,18
1,0,0,0,0,0,4.4,21
0,0,0,0,0,1,4.6,22
0,1,0,0,0,0,4.7,18
1,0,0,0,0,0,4.6,19
0,0,1,0,0,0,4.6,30
0,1,0,0,0,0,4.4,17
0,0,1,0,0,0,4.1,23
0,0,0,0,0,1,4.1,17
0,0,1,0,0,0,4.3,21
0,0,1,0,0,0,4.1,24
0,1,0,0,0,0,4.1,18
0,0,1,0,0,0,4.4,15
0,0,0,1,0,0,3.4,23
0,1,0,0,0,0,3.067659404357386,19
0,0,1,0,0,0,4.3,19
0,1,0,0,0,0,4.4,31
0,0,1,0,0,0,4.3,31
0,0,1,0,0,0,4.5,31
1,0,0,0,0,0,4.4,31
1,0,0,0,0,0,4.2,16
0,0,1,0,0,0,4.3,27
0,0,1,0,0,0,4.8,24
1,0,0,0,0,0,4.5,28
0,0,1,0,0,0,4.4,28
1,0,0,0,0,0,4.7,21
1,0,0,0,0,0,4.5,24
0,1,0,0,0,0,4.5,31
0,1,0,0,0,0,4.2,25
0,0,1,0,0,0,4.3,18
0,0,0,0,0,1,4.7,16
1,0,0,0,0,0,4.7,29
0,1,0,0,0,0,4.3,21
0,1,0,0,0,0,4.4,24
1,0,0,0,0,0,4.5,20
1,0,0,0,0,0,4.4,23
0,0,1,0,0,0,4.4,23
0,0,1,0,0,0,4.3,18
0,0,1,0,0,0,4.4,23
0,0,1,0,0,0,4.2,22
0,0,1,0,0,0,4.1,14
0,0,1,0,0,0,4.1,24
0,0,1,0,0,0,4.3,16
0,0,1,0,0,0,4.4,21
0,1,0,0,0,0,4.4,13
0,1,0,0,0,0,4.6,23
1,0,0,0,0,0,4.4,20
0,1,0,0,0,0,4.4,21
0,1,0,0,0,0,4.1,28
0,1,0,0,0,0,4.5,17
0,0,1,0,0,0,4.3,23
0,1,0,0,0,0,4.3,26
0,0,0,0,1,0,4.5,33
0,1,0,0,0,0,4.2,17
0,1,0,0,0,0,4.2,20
0,1,0,0,0,0,4.4,27
0,0,1,0,0,0,4.4,29
0,1,0,0,0,0,4.5,26
0,0,1,0,0,0,4.3,22
1,0,0,0,0,0,4.5,16
0,1,0,0,0,0,4.3,21
0,0,0,0,0,1,4.7,20
0,0,0,0,0,1,4.9,15
1,0,0,0,0,0,4.5,28
1,0,0,0,0,0,4.5,21
1,0,0,0,0,0,4.6,17
1,0,0,0,0,0,4.4,31
1,0,0,0,0,0,4.5,26
1,0,0,0,0,0,4.7,27
1,0,0,0,0,0,4.7,19
1,0,0,0,0,0,4.5,18
1,0,0,0,0,0,4.4,21
1,0,0,0,0,0,4.6,22
1,0,0,0,0,0,4.6,24
0,0,0,1,0,0,4.2,26
0,1,0,0,0,0,4.1,25
1,0,0,0,0,0,4.7,22
1,0,0,0,0,0,4.3,28
1,0,0,0,0,0,4.6,24
1,0,0,0,0,0,4.6,21
0,1,0,0,0,0,4.4,32
0,1,0,0,0,0,4.2,21
0,1,0,0,0,0,4.4,18
1,0,0,0,0,0,4.4,23
0,1,0,0,0,0,4.6,25
0,1,0,0,0,0,4.4,17
0,1,0,0,0,0,3.06832484267306,23
0,0,0,0,0,1,4.8,38
